quoteAuthor;quoteText;quoteLink
;;
Антон Чехов;Если хочешь стать оптимистом и понять жизнь, то перестань верить тому, что говорят и пишут, а наблюдай и вникай. ;http://forismatic.com/ru/11c6634410/
;;
Аристотель;Жизнь требует движения. ;http://forismatic.com/ru/103006309d/
;;
Бернард Шоу;Устаешь ждать, но насколько хуже было бы, если бы ждать стало нечего. ;http://forismatic.com/ru/1f1e579ae5/
;;
Будда Гаутама;"Победа порождает ненависть; побеждённый живет в печали. В счастье живет спокойный, отказывающийся от победы и поражения. ";http://forismatic.com/ru/7dd5570782/
;;
Карлос Кастанеда;Мы — люди, и наша судьба, наше предназначение — учиться ради открытия все новых и новых непостижимых миров.;http://forismatic.com/ru/5641c5b2f5/
;;
Паоло Коэльо;Человек не понимает, что каждый день у него есть все для исполнения мечты. ;http://forismatic.com/ru/41edce5719/
;;
Робин Шарма;В жизни, прежде всего, важно не сколько дорогих игрушек мы сумели приобрести и сколько денег успели накопить, а сколько талантов в себе раскрыли и использовали, чтобы улучшить этот мир.;http://forismatic.com/ru/8d71403b92/
;;
Тамерлан;Судьба у меня в руках и счастье всегда со мной. ;http://forismatic.com/ru/e8d42d9243/
;;
Хорхе Анхель Ливрага;Человека делают старым не морщины, а отсутствие мечты и надежды. ;http://forismatic.com/ru/fb72dc1c87/
;;
Шри Ауробиндо;"Ничто еще не потеряно, даже когда с человеческой точки зрения дело кажется проигранным или безнадежным; все потеряно лишь тогда, когда душа отказывается от усилий.";http://forismatic.com/ru/2e4410d5f5/
